央视频道,#genre#
CGTN 新闻,http://114.254.147.3:23234/rtp/239.3.1.215:4220
CGTN 新闻,http://114.254.32.8:8888/rtp/239.3.1.215:4220
CGTN 新闻,http://114.254.80.199:8888/rtp/239.3.1.215:4220
CGTN 纪录,http://114.254.147.3:23234/rtp/239.3.1.216:4220
CGTN 纪录,http://114.254.32.8:8888/rtp/239.3.1.216:4220
CGTN 纪录,http://114.254.80.199:8888/rtp/239.3.1.216:4220
CGTN 西班牙语,http://114.254.147.3:23234/rtp/239.3.1.217:4220
CGTN 西班牙语,http://114.254.32.8:8888/rtp/239.3.1.217:4220
CGTN 西班牙语,http://114.254.80.199:8888/rtp/239.3.1.217:4220
CGTN 法语,http://114.254.147.3:23234/rtp/239.3.1.218:4220
CGTN 法语,http://114.254.32.8:8888/rtp/239.3.1.218:4220
CGTN 法语,http://114.254.80.199:8888/rtp/239.3.1.218:4220
CGTN 阿拉伯语,http://114.254.147.3:23234/rtp/239.3.1.219:4220
CGTN 阿拉伯语,http://114.254.32.8:8888/rtp/239.3.1.219:4220
CGTN 阿拉伯语,http://114.254.80.199:8888/rtp/239.3.1.219:4220
CGTN 俄语,http://114.254.147.3:23234/rtp/239.3.1.220:4220
CGTN 俄语,http://114.254.32.8:8888/rtp/239.3.1.220:4220
CGTN 俄语,http://114.254.80.199:8888/rtp/239.3.1.220:4220
卫视频道,#genre#
湖南卫视,http://114.254.147.3:23234/rtp/239.3.1.132:8012
湖南卫视,http://114.254.32.8:8888/rtp/239.3.1.132:8012
湖南卫视,http://114.254.80.199:8888/rtp/239.3.1.132:8012
湖南卫视,http://171.213.197.33:4022/udp/239.93.0.88:5140
湖南卫视,http://171.213.203.2:4022/udp/239.93.0.88:5140
湖南卫视,http://171.213.196.239:4022/udp/239.93.0.88:5140
湖南卫视,http://27.46.65.9:17088/udp/239.0.1.78:8012
湖南卫视,http://171.83.144.74:6868/rtp/239.254.96.139:8908
湖南卫视,http://221.234.221.30:4022/rtp/239.254.96.139:8908
湖南卫视,http://27.28.196.115:4022/rtp/239.254.96.139:8908
湖南卫视,http://183.128.146.235:8000/udp/233.50.201.103:5140
湖南卫视,http://125.123.144.144:4022/udp/233.50.201.103:5140
湖南卫视,http://125.119.112.63:8000/udp/233.50.201.103:5140
湖南卫视,http://121.235.33.113:12345/udp/239.49.8.12:9418
湖南卫视,http://114.228.193.151:4022/udp/239.49.8.12:9418
湖南卫视,http://121.226.125.49:7777/udp/239.49.8.12:9418
湖南卫视,http://123.160.172.130:8800/rtp/239.16.20.72:10720
湖南卫视,http://1.193.56.43:8800/rtp/239.16.20.72:10720
湖南卫视,http://121.29.84.237:5000/rtp/239.253.92.84:8015
湖南卫视,http://121.20.207.185:9999/rtp/239.253.92.84:8015
浙江卫视,http://114.254.147.3:23234/rtp/239.3.1.137:8036
浙江卫视,http://114.254.32.8:8888/rtp/239.3.1.137:8036
浙江卫视,http://114.254.80.199:8888/rtp/239.3.1.137:8036
浙江卫视,http://171.213.197.33:4022/udp/239.93.0.124:5140
浙江卫视,http://171.213.203.2:4022/udp/239.93.0.124:5140
浙江卫视,http://171.213.196.239:4022/udp/239.93.0.124:5140
浙江卫视,http://27.46.65.9:17088/udp/239.0.1.79:1234
浙江卫视,http://171.83.144.74:6868/rtp/239.254.96.143:8932
浙江卫视,http://221.234.221.30:4022/rtp/239.254.96.143:8932
浙江卫视,http://27.28.196.115:4022/rtp/239.254.96.143:8932
浙江卫视,http://183.128.146.235:8000/udp/233.50.201.100:5140
浙江卫视,http://125.123.144.144:4022/udp/233.50.201.100:5140
浙江卫视,http://125.119.112.63:8000/udp/233.50.201.100:5140
浙江卫视,http://121.235.33.113:12345/udp/239.49.8.20:9618
浙江卫视,http://114.228.193.151:4022/udp/239.49.8.20:9618
浙江卫视,http://121.226.125.49:7777/udp/239.49.8.20:9618
浙江卫视,http://123.160.172.130:8800/rtp/239.16.20.71:10710
浙江卫视,http://1.193.56.43:8800/rtp/239.16.20.71:10710
浙江卫视,http://121.29.84.237:5000/rtp/239.253.92.90:8020
浙江卫视,http://121.20.207.185:9999/rtp/239.253.92.90:8020
东方卫视,http://114.254.147.3:23234/rtp/239.3.1.136:8032
东方卫视,http://114.254.32.8:8888/rtp/239.3.1.136:8032
东方卫视,http://114.254.80.199:8888/rtp/239.3.1.136:8032
东方卫视,http://171.213.197.33:4022/udp/239.93.0.123:5140
东方卫视,http://171.213.203.2:4022/udp/239.93.0.123:5140
东方卫视,http://171.213.196.239:4022/udp/239.93.0.123:5140
东方卫视,http://27.46.65.9:17088/udp/239.0.1.82:8032
东方卫视,http://171.83.144.74:6868/rtp/239.254.96.142:8926
东方卫视,http://221.234.221.30:4022/rtp/239.254.96.142:8926
东方卫视,http://27.28.196.115:4022/rtp/239.254.96.142:8926
东方卫视,http://183.128.146.235:8000/udp/233.50.201.125:5140
东方卫视,http://125.123.144.144:4022/udp/233.50.201.125:5140
东方卫视,http://125.119.112.63:8000/udp/233.50.201.125:5140
东方卫视,http://121.235.33.113:12345/udp/239.49.8.17:9606
东方卫视,http://114.228.193.151:4022/udp/239.49.8.17:9606
东方卫视,http://121.226.125.49:7777/udp/239.49.8.17:9606
东方卫视,http://123.160.172.130:8800/rtp/239.16.20.73:10730
东方卫视,http://1.193.56.43:8800/rtp/239.16.20.73:10730
东方卫视,http://121.29.84.237:5000/rtp/239.253.92.89:8019
东方卫视,http://121.20.207.185:9999/rtp/239.253.92.89:8019
北京卫视,http://114.254.147.3:23234/rtp/239.3.1.241:8000
北京卫视,http://114.254.32.8:8888/rtp/239.3.1.241:8000
北京卫视,http://114.254.80.199:8888/rtp/239.3.1.241:8000
北京卫视,http://171.213.197.33:4022/udp/239.93.0.180:5140
北京卫视,http://171.213.203.2:4022/udp/239.93.0.180:5140
北京卫视,http://171.213.196.239:4022/udp/239.93.0.180:5140
北京卫视,http://27.46.65.9:17088/udp/239.0.1.83:8024
北京卫视,http://171.83.144.74:6868/rtp/239.254.96.141:8920
北京卫视,http://221.234.221.30:4022/rtp/239.254.96.141:8920
北京卫视,http://27.28.196.115:4022/rtp/239.254.96.141:8920
北京卫视,http://183.128.146.235:8000/udp/233.50.201.107:5140
北京卫视,http://125.123.144.144:4022/udp/233.50.201.107:5140
北京卫视,http://125.119.112.63:8000/udp/233.50.201.107:5140
北京卫视,http://121.235.33.113:12345/udp/239.49.8.11:9414
北京卫视,http://114.228.193.151:4022/udp/239.49.8.11:9414
北京卫视,http://121.226.125.49:7777/udp/239.49.8.11:9414
北京卫视,http://123.160.172.130:8800/rtp/239.16.20.76:10760
北京卫视,http://1.193.56.43:8800/rtp/239.16.20.76:10760
北京卫视,http://121.29.84.237:5000/rtp/239.253.92.87:8014
北京卫视,http://121.20.207.185:9999/rtp/239.253.92.87:8014
北京卫视4K,http://114.254.147.3:23234/udp/239.3.1.22:8001
北京卫视4K,http://114.254.32.8:8888/udp/239.3.1.22:8001
北京卫视4K,http://114.254.80.199:8888/udp/239.3.1.22:8001
江苏卫视,http://114.254.147.3:23234/rtp/239.3.1.135:8028
江苏卫视,http://114.254.32.8:8888/rtp/239.3.1.135:8028
江苏卫视,http://114.254.80.199:8888/rtp/239.3.1.135:8028
江苏卫视,http://171.213.197.33:4022/udp/239.93.0.89:5140
江苏卫视,http://171.213.203.2:4022/udp/239.93.0.89:5140
江苏卫视,http://171.213.196.239:4022/udp/239.93.0.89:5140
江苏卫视,http://27.46.65.9:17088/udp/239.0.1.80:8028
江苏卫视,http://171.83.144.74:6868/rtp/239.254.96.144:8938
江苏卫视,http://221.234.221.30:4022/rtp/239.254.96.144:8938
江苏卫视,http://27.28.196.115:4022/rtp/239.254.96.144:8938
江苏卫视,http://183.128.146.235:8000/udp/233.50.201.106:5140
江苏卫视,http://125.123.144.144:4022/udp/233.50.201.106:5140
江苏卫视,http://125.119.112.63:8000/udp/233.50.201.106:5140
江苏卫视,http://121.235.33.113:12345/udp/239.49.8.16:9602
江苏卫视,http://114.228.193.151:4022/udp/239.49.8.16:9602
江苏卫视,http://121.226.125.49:7777/udp/239.49.8.16:9602
江苏卫视,http://123.160.172.130:8800/rtp/239.16.20.74:10740
江苏卫视,http://1.193.56.43:8800/rtp/239.16.20.74:10740
江苏卫视,http://121.29.84.237:5000/rtp/239.253.92.88:8018
江苏卫视,http://121.20.207.185:9999/rtp/239.253.92.88:8018
安徽卫视,http://114.254.147.3:23234/rtp/239.3.1.211:8064
安徽卫视,http://114.254.32.8:8888/rtp/239.3.1.211:8064
安徽卫视,http://114.254.80.199:8888/rtp/239.3.1.211:8064
安徽卫视,http://171.213.197.33:4022/udp/239.93.1.106:5140
安徽卫视,http://171.213.203.2:4022/udp/239.93.1.106:5140
安徽卫视,http://171.213.196.239:4022/udp/239.93.1.106:5140
安徽卫视,http://27.46.65.9:17088/udp/239.0.1.81:8064
安徽卫视,http://171.83.144.74:6868/rtp/239.69.1.70:10060
安徽卫视,http://221.234.221.30:4022/rtp/239.69.1.70:10060
安徽卫视,http://27.28.196.115:4022/rtp/239.69.1.70:10060
安徽卫视,http://183.128.146.235:8000/udp/233.50.201.113:5140
安徽卫视,http://125.123.144.144:4022/udp/233.50.201.113:5140
安徽卫视,http://125.119.112.63:8000/udp/233.50.201.113:5140
安徽卫视,http://121.235.33.113:12345/udp/239.49.8.204:6000
安徽卫视,http://114.228.193.151:4022/udp/239.49.8.204:6000
安徽卫视,http://121.226.125.49:7777/udp/239.49.8.204:6000
安徽卫视,http://123.160.172.130:8800/rtp/239.16.20.75:10750
安徽卫视,http://1.193.56.43:8800/rtp/239.16.20.75:10750
安徽卫视,http://121.29.84.237:5000/rtp/239.253.92.209:6566
安徽卫视,http://121.20.207.185:9999/rtp/239.253.92.209:6566
重庆卫视,http://114.254.147.3:23234/rtp/239.3.1.122:8160
重庆卫视,http://114.254.32.8:8888/rtp/239.3.1.122:8160
