748k  114.232.116.94:8848
669k  117.81.150.89:5555
657k  49.74.205.217:8888
588k  49.82.105.208:8000
536k  114.226.123.43:1024
469k  121.226.124.164:9999
377k  180.102.252.21:8000
371k  121.226.125.46:7777
294k  58.212.139.121:10001
266k  114.238.130.71:9999
240k  121.226.125.49:7777
174k  121.226.15.92:7777
