更新时间,#genre#
央视,#genre#:
CCTV兵器科技,http://223.145.224.89:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.122:8000/udp/239.76.254.59:9000
CCTV央视台球,http://223.145.224.89:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.122:8000/udp/239.76.254.58:9000
CCTV央视文化精品,http://223.145.224.89:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.122:8000/udp/239.76.254.56:9000
CCTV央视高尔夫,http://223.145.224.122:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.89:8000/udp/239.76.254.62:9000
CCTV女性时尚,http://223.145.224.89:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.122:8000/udp/239.76.254.55:9000
怀旧剧场,http://223.145.224.89:8000/udp/239.76.254.53:9000
怀旧剧场,http://223.145.224.122:8000/udp/239.76.254.53:9000
CCTV电视指南,http://223.145.224.89:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.122:8000/udp/239.76.254.61:9000
第一剧场,http://223.145.224.89:8000/udp/239.76.254.49:9000
第一剧场,http://223.145.224.122:8000/udp/239.76.254.49:9000
风云剧场,http://223.145.224.122:8000/udp/239.76.254.50:9000
风云剧场,http://223.145.224.89:8000/udp/239.76.254.50:9000
CCTV风云足球,http://223.145.224.89:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.122:8000/udp/239.76.254.52:9000
CCTV风云音乐,http://223.145.224.89:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.122:8000/udp/239.76.254.51:9000
卫视,#genre#:
CHC动作电影,http://223.145.224.89:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.122:8000/udp/239.76.245.243:1234
CHC家庭影院,http://223.145.224.89:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.122:8000/udp/239.76.245.241:1234
CHC影迷电影,http://223.145.224.89:8000/udp/239.76.245.242:1234
CHC影迷电影,http://223.145.224.122:8000/udp/239.76.245.242:1234
三沙卫视,http://223.145.224.122:8000/udp/239.76.246.74:1234
三沙卫视,http://223.145.224.89:8000/udp/239.76.246.74:1234
东南卫视,http://223.145.224.122:8000/udp/239.76.245.190:1234
东南卫视,http://223.145.224.122:8000/udp/239.76.252.90:9000
东南卫视,http://223.145.224.122:8000/udp/239.76.252.190:9000
东南卫视,http://223.145.224.89:8000/udp/239.76.252.90:9000
东南卫视,http://223.145.224.89:8000/udp/239.76.245.190:1234
上海卫视,http://223.145.224.89:8000/udp/239.76.246.186:1234
上海卫视,http://223.145.224.89:8000/udp/239.76.252.86:9000
上海卫视,http://223.145.224.89:8000/udp/239.76.253.186:9000
上海卫视,http://223.145.224.122:8000/udp/239.76.252.86:9000
上海卫视,http://223.145.224.122:8000/udp/239.76.246.186:1234
上海卫视,http://223.145.224.122:8000/udp/239.76.253.186:9000
云南卫视,http://223.145.224.89:8000/udp/239.76.252.98:9000
云南卫视,http://223.145.224.122:8000/udp/239.76.254.60:9000
云南卫视,http://223.145.224.89:8000/udp/239.76.254.60:9000
兵团卫视,http://223.145.224.122:8000/udp/239.76.245.232:1234
兵团卫视,http://223.145.224.89:8000/udp/239.76.245.232:1234
内蒙古卫视,http://223.145.224.89:8000/udp/239.76.245.106:1234
内蒙古卫视,http://223.145.224.122:8000/udp/239.76.245.106:1234
凤凰中文,http://223.145.224.89:8000/udp/239.76.246.134:1234
凤凰中文,http://223.145.224.89:8000/udp/239.76.253.135:9000
凤凰中文,http://223.145.224.122:8000/udp/239.76.253.135:9000
凤凰中文,http://223.145.224.122:8000/udp/239.76.246.134:1234
凤凰资讯,http://223.145.224.89:8000/udp/239.76.246.135:1234
凤凰资讯,http://223.145.224.122:8000/udp/239.76.253.134:9000
凤凰资讯,http://223.145.224.122:8000/udp/239.76.246.135:1234
凤凰资讯,http://223.145.224.89:8000/udp/239.76.253.134:9000
北京卫视,http://223.145.224.122:8000/udp/239.76.246.184:1234
北京卫视,http://223.145.224.89:8000/udp/239.76.246.184:1234
北京卫视,http://223.145.224.122:8000/udp/239.76.252.84:9000
北京卫视,http://223.145.224.89:8000/udp/239.76.253.184:9000
北京卫视,http://223.145.224.89:8000/udp/239.76.252.84:9000
厦门卫视,http://223.145.224.89:8000/udp/239.76.245.231:1234
厦门卫视,http://223.145.224.122:8000/udp/239.76.245.231:1234
吉林卫视,http://223.145.224.122:8000/udp/239.76.253.201:9000
吉林卫视,http://223.145.224.89:8000/udp/239.76.252.103:9000
吉林卫视,http://223.145.224.122:8000/udp/239.76.252.103:9000
吉林卫视,http://223.145.224.122:8000/udp/239.76.246.201:1234
吉林卫视,http://223.145.224.89:8000/udp/239.76.246.201:1234
