中国联通-河南-组播,#genre#
江苏卫视,http://221.14.196.152:4022/udp/225.1.4.18:1047
广东卫视,http://221.14.196.152:4022/udp/225.1.4.30:1059
辽宁卫视,http://221.14.196.152:4022/udp/225.1.4.26:1055
爱体育,http://221.14.196.152:4022/udp/225.1.4.168:1220
纪实,http://221.14.196.152:4022/udp/225.1.4.170:1222
东南卫视,http://221.14.196.152:4022/udp/225.1.4.32:1061
贵州卫视,http://221.14.196.152:4022/udp/225.1.4.41:1070
河北卫视,http://221.14.196.152:4022/udp/225.1.4.34:1063
江西卫视,http://221.14.196.152:4022/udp/225.1.4.37:1066
四川卫视,http://221.14.196.152:4022/udp/225.1.4.40:1069
云南卫视,http://221.14.196.152:4022/udp/225.1.4.33:1062
重庆卫视,http://221.14.196.152:4022/udp/225.1.4.29:1058
吉林卫视,http://221.14.196.152:4022/udp/225.1.4.36:1065
大象新闻,http://221.14.196.152:4022/udp/225.1.5.45:1355
现场直播,http://221.14.196.152:4022/udp/225.1.5.42:1352
河南-导视,http://221.14.196.152:4022/udp/225.1.4.194:1244
河南卫视4K,http://221.14.196.152:4022/udp/225.1.4.254:1300

